	N60-60-38 	No description 	N60-60-38 	2018-09-04 12:21:18 	2018-09-04 16:15:00 	2018-09-04 16:20:00 	2018-09-04 17:08:01 	2018-09-04 17:13:01 	Finished 	Download Result
	60-60-38 	No description 	60-60-38 	2018-09-04 12:21:09 	2018-09-04 16:10:00 	2018-09-04 16:15:00 	2018-09-04 17:02:01 	2018-09-04 17:07:01 	Finished 	Download Result
	N60-60-38 	No description 	N60-60-38 	2018-09-04 12:20:56 	2018-09-04 16:05:00 	2018-09-04 16:10:00 	2018-09-04 16:56:01 	2018-09-04 17:01:01 	Finished 	Download Result
	60-60-38 	No description 	60-60-38 	2018-09-04 12:20:24 	2018-09-04 16:00:00 	2018-09-04 16:05:00 	2018-09-04 16:50:01 	2018-09-04 16:55:01 	Finished 	Download Result
	N60-58-16 	No description 	N60-58-16 	2018-09-04 12:19:43 	2018-09-04 15:55:00 	2018-09-04 16:00:00 	2018-09-04 16:44:01 	2018-09-04 16:49:01 	Finished 	Download Result
	60-58-16 	No description 	60-58-16 	2018-09-04 12:19:35 	2018-09-04 15:50:00 	2018-09-04 15:55:00 	2018-09-04 16:38:01 	2018-09-04 16:43:01 	Finished 	Download Result
	N60-58-16 	No description 	N60-58-16 	2018-09-04 12:19:23 	2018-09-04 15:45:00 	2018-09-04 15:50:00 	2018-09-04 16:32:01 	2018-09-04 16:37:01 	Finished 	Download Result
	60-58-16 	No description 	60-58-16 	2018-09-04 12:18:41 	2018-09-04 15:40:00 	2018-09-04 15:45:00 	2018-09-04 16:26:01 	2018-09-04 16:31:01 	Finished 	Download Result
	N60-54-50 	No description 	N60-54-50 	2018-09-04 12:17:52 	2018-09-04 15:35:00 	2018-09-04 15:40:00 	2018-09-04 16:20:01 	2018-09-04 16:25:01 	Finished 	Download Result
	60-54-50 	No description 	60-54-50 	2018-09-04 12:17:43 	2018-09-04 15:30:00 	2018-09-04 15:35:00 	2018-09-04 16:14:01 	2018-09-04 16:19:01 	Finished 	Download Result
	N60-54-50 	No description 	N60-54-50 	2018-09-04 12:17:01 	2018-09-04 15:25:00 	2018-09-04 15:30:00 	2018-09-04 16:08:01 	2018-09-04 16:13:01 	Finished 	Download Result
	60-54-50 	No description 	60-54-50 	2018-09-04 12:16:15 	2018-09-04 15:20:00 	2018-09-04 15:25:00 	2018-09-04 16:02:01 	2018-09-04 16:07:01 	Finished 	Download Result
	N60-54-20 	No description 	N60-54-20 	2018-09-04 12:15:17 	2018-09-04 15:15:00 	2018-09-04 15:20:00 	2018-09-04 15:56:01 	2018-09-04 16:01:01 	Finished 	Download Result
	60-54-20 	No description 	60-54-20 	2018-09-04 12:15:09 	2018-09-04 15:10:00 	2018-09-04 15:15:00 	2018-09-04 15:50:01 	2018-09-04 15:55:01 	Finished 	Download Result
	N60-54-20 	No description 	N60-54-20 	2018-09-04 12:14:58 	2018-09-04 15:05:00 	2018-09-04 15:10:00 	2018-09-04 15:43:02 	2018-09-04 15:49:01 	Finished 	Download Result
	60-54-20 	No description 	60-54-20 	2018-09-04 12:14:08 	2018-09-04 15:00:00 	2018-09-04 15:05:00 	2018-09-04 15:37:01 	2018-09-04 15:42:02 	Finished 	Download Result
	N60-47-60 	No description 	N60-47-60 	2018-09-04 12:12:32 	2018-09-04 14:55:00 	2018-09-04 15:00:00 	2018-09-04 15:31:01 	2018-09-04 15:36:01 	Finished 	Download Result
	60-47-60 	No description 	60-47-60 	2018-09-04 12:10:57 	2018-09-04 14:50:00 	2018-09-04 14:55:00 	2018-09-04 15:25:01 	2018-09-04 15:30:01 	Finished 	Download Result
	N60-47-60 	No description 	N60-47-60 	2018-09-04 12:10:46 	2018-09-04 14:45:00 	2018-09-04 14:50:00 	2018-09-04 15:19:01 	2018-09-04 15:24:01 	Finished 	Download Result
